Name	Area	Battle Tokens	Day	Done	Due	Link	Naipe	Prioridade	Project	Status	Sub Áreas
Avaliar criação de skill/POP para operar o Notion		15	Friday	Yes	8-May-26			P 3		Done	
Manter inventário e POP dos templates do 2º Cérebro	Unicamp	0		No				P 2		Not started	
Adicionar link do reels sobre Claude Code analisando perfil		0		No				P 4		Not started	
Fazer exame de sangue e plaquetas antes da validade da guia		50		Yes	9-May-26			P 1		Arquivadas	
Testar janela entreaberta para luz natural ao acordar		0		No	13-May-26			P 2		Progredindo	
Criar controle financeiro mínimo de gastos		0		No				P 3		Not started	
Fazer eletrocardiograma antes da validade da guia		50		Yes	9-May-26			P 1		Arquivadas	
Procurar jogo narrativo para baixar no PC		0		No				P 5		Not started	
Definir data e horário do bate-papo com Ricardo	Estudo	15		Yes				P 3		Done	
Ir à Óticas Ipanema com a receita do exame	Saúde	0		No				P 3	Óculos	Not started	
Realizar exame de vista completo	Saúde	0		No				P 2	Óculos	Not started	
Marcar consulta com oftalmologista	Saúde	0		No				P 2	Óculos	Not started	
Retirar óculos prontos	Saúde	0		No				P 3	Óculos	Not started	
Escolher armação e lentes na ótica	Saúde	0		No				P 3	Óculos	Not started	
Criar fluxo de anexação real	Estudo	0	Sunday	No	17-May-26 10:00			P 2	2° Cérebro	Not started	
Procurar jogo para PC inspirado em Life is Strange	Pessoal	0		No				P 5		Not started	Lazer
Desenhar dashboard de recompensas e progressão visual	Pessoal	0	Friday	No	22-May-26 9:00			P 3	2° Cérebro	Not started	Recompensas
Revisar Painel de Comando	Estudo	0	Sunday	No	17-May-26 9:00			P 2	2° Cérebro	Not started	
Mapear Drive de Lab 1	Unicamp	50	Sunday	Yes	10-May-26 9:00	https://...		P 1	LE704 - Laboratório de Engenharia 1	Done	
Verificar exames pendentes no Centro Médico de Campinas	Saúde	50		Yes	9-May-26			P 1		Done	Cirurgia/Colesteatoma
Organizar repouso pós-operatório	Saúde	0	Wednesday	No	20-May-26 14:00	https://...		P 2	Cirurgia	Not started	
Fazer eletrocardiograma	Saúde	50	Thursday	Yes	13-May-26 11:00	https://...		P 1	Cirurgia	Done	
Fazer hemograma + coagulograma	Saúde	50	Thursday	Yes	7-May-26 9:00	https://...		P 1	Cirurgia	Done	
Verificar restrições alimentares pré-cirurgia	Saúde	0	Wednesday	No	20-May-26 10:00	https://...		P 2	Cirurgia	Not started	
Confirmar data, horário e local da cirurgia	Saúde	50	Monday	Yes	13-May-26 10:00	https://...		P 1	Cirurgia	Done	
Separar documentos para o hospital	Saúde	0	Saturday	No	23-May-26 10:00	https://...		P 2	Cirurgia	Not started	
Criar Caderno de Bolso — A1 Secagem	Unicamp	0	Wednesday	No	13-May-26 9:00	https://...	♦️ Ouros	P 1	LE704 - Laboratório de Engenharia 1	Not started	
Estudar Sedimentação — Kynch, massa específica, área	Unicamp	0	Tuesday	No	12-May-26 14:00	https://...	♦️ Ouros	P 1	LE704 - Laboratório de Engenharia 1	Not started	
Criar Caderno de Bolso — A3 Filtração	Unicamp	0	Thursday	No	14-May-26 9:00	https://...	♦️ Ouros	P 1	LE704 - Laboratório de Engenharia 1	Not started	
Exercícios Cremasco Cap 13-14 + McCabe	Unicamp	0	Saturday	No	16-May-26 9:00	https://...	♦️ Ouros	P 2	LE704 - Laboratório de Engenharia 1	Not started	
Criar Caderno de Bolso — A2 Transferência de Calor	Unicamp	0	Friday	No	15-May-26 9:00	https://...	♦️ Ouros	P 1	LE704 - Laboratório de Engenharia 1	Not started	
Simulado com questões da prova antiga Lab 1	Unicamp	0	Sunday	No	17-May-26 9:00	https://...	♦️ Ouros	P 1	LE704 - Laboratório de Engenharia 1	Not started	
Implementar Claude Skills v2 — 18 skills operacionais	Estudo	50	Sunday	Yes	10-May-26 2:00			P 1	2° Cérebro	Done	
Criar tasks com mapa mental para Lab 1 e Cirurgia	Estudo	0	Sunday	No	11-May-26 10:00			P 1	2° Cérebro	Done	
Setup Areas, Projects e Resources do MVP	Estudo	50	Saturday	Yes	9-May-26 23:00			P 1	2° Cérebro	Done	
Criar tasks para todos os projetos prioritários	Estudo	50	Sunday	Yes	11-May-26 6:00			P 1	2° Cérebro	Done	
Fornecer arquivos Drive para projetos sem Resource	Estudo	0	Tuesday	No	12-May-26 9:00			P 1	2° Cérebro	Not started	
Validar estrutura completa do 2° Cérebro MVP	Estudo	0	Wednesday	No	13-May-26 10:00			P 2	2° Cérebro	Not started	
Buscar resultados dos exames presencialmente	Saúde	0	Tuesday	No	12-May-26 9:00	https://...		P 3	Cirurgia	Not started	
Raio X pré-operatório realizado — aguardar laudo	Saúde	50	Monday	Yes	5-May-26 11:50	https://...		P 1	Cirurgia	Done	
Atualizar catálogo Dindoca com feedback registrado	Pessoal	0	Wednesday	No	13-May-26 10:00	https://...		P 1	Dindoca	Not started	
Treinar Dindoca para atualizar o catálogo sozinha	Pessoal	0	Saturday	No	16-May-26 14:00	https://...		P 2	Dindoca	Not started	
Testar catálogo num grupo WhatsApp real	Pessoal	0	Thursday	No	14-May-26 14:00	https://...		P 1	Dindoca	Not started	
Revisar áudio de feedback do catálogo Dindoca	Pessoal	0	Monday	No	11-May-26 14:00	https://...		P 1	Dindoca	Not started	
Preparar e ir para aula Eng. Econ. — sexta 14h	Unicamp	0	Friday	No	15-May-26 13:30	https://...		P 1	Engenharia Econômica	Not started	
Resolver exercícios VPL, TIR e Payback — ER704	Unicamp	0	Wednesday	No	13-May-26 14:00	https://...		P 2	Engenharia Econômica	Not started	
Estudar Amortização SAC e SAF/Price — ER704	Unicamp	0	Tuesday	No	12-May-26 10:00	https://...		P 1	Engenharia Econômica	Not started	
Confirmar aprovação mínima e faltas acumuladas ER704	Unicamp	50	Monday	Yes	11-May-26 10:00	https://...		P 1	Engenharia Econômica	Done	
Definir critérios e orçamento máximo com os amigos	Pessoal	0	Tuesday	No	12-May-26 19:00	https://...		P 1	Apartamento	Progredindo	
Mapear apartamentos em avaliação com preços	Pessoal	50	Monday	Yes	11-May-26 10:00	https://...		P 1	Apartamento	Done	
Alimentar ApartaRank com apás candidatos e ranquear	Pessoal	0	Wednesday	No	13-May-26 19:00	https://...		P 1	ApartaRank	Not started	
Levantar estado atual do ApartaRank_Web no Drive	Pessoal	0	Tuesday	No	12-May-26 10:00	https://...		P 1	ApartaRank	Not started	
Confirmar próxima consulta com nutricionista	Saúde	0	Monday	No	11-May-26 10:00	https://...		P 2	Nutricionista	Not started	
Manter frequência semanal na academia (Wellhub)	Saúde	0	Wednesday	No	13-May-26 19:00	https://...		P 2	Academia	Not started	
Ajustar alimentação para recuperação pós-cirurgia	Saúde	0	Wednesday	No	20-May-26 10:00	https://...		P 1	Nutricionista	Not started	
Confirmar plano de treino atual na academia	Saúde	0	Monday	No	11-May-26 19:00	https://...		P 2	Academia	Not started	
🗂️ Revisão e organização do Google Drive		0		No				P 3	2° Cérebro	Not started	
Registrar resultado A2 Transferência de Calor — nota 1,3/3	Unicamp	50	Thursday	Yes	14-May-26 17:00	https://...	♦️ Ouros	P 1	LE704 - Laboratório de Engenharia 1	Done	
Registrar resultado A3 Filtração — nota 2,3/3	Unicamp	50	Thursday	Yes	14-May-26 17:00	https://...	♦️ Ouros	P 1	LE704 - Laboratório de Engenharia 1	Done	
Apresentar pitch Lab 1	Unicamp	0	Thursday	No	21-May-26 17:00	https://...	♣️ Paus	P 1	LE704 - Laboratório de Engenharia 1	Not started	
Realizar avaliação final Lab 1	Unicamp	0	Thursday	No	18-Jun-26 17:00	https://...	♦️ Ouros	P 1	LE704 - Laboratório de Engenharia 1	Not started	
Entregar A4 Sedimentação	Unicamp	50	Thursday	Yes	7-May-26 17:00	https://...	♦️ Ouros	P 1	LE704 - Laboratório de Engenharia 1	Done	
